"Main Devices","Sites","SC+ codes","SC+ title","SC+ price","SC+ promo price","SC+ TnC"
"HW-Q995B/ZG","de","null","null","null","null","null"
"HW-B460/ZG","de","null","null","null","null","null"
"HW-B440/ZG","de","null","null","null","null","null"
"HW-B560/ZG","de","null","null","null","null","null"
"LS24AG304NUXEN","de","null","null","null","null","null"
"HW-LST70T/ZG","de","null","null","null","null","null"
"HW-S56B/ZG","de","null","null","null","null","null"
"HW-B660/ZG","de","null","null","null","null","null"
"HW-Q64B/ZG","de","null","null","null","null","null"
"HW-Q600A/ZG","de","null","null","null","null","null"
"HW-Q610B/ZG","de","null","null","null","null","null"
"HW-Q710B/ZG","de","null","null","null","null","null"
"GQ32Q50AAUXZG","de","null","null","null","null","null"
"GQ32LS03BBUXZG","de","null","null","null","null","null"
"GQ50LS03BAUXZG","de","null","null","null","null","null"
"GQ43LS03BAUXZG","de","null","null","null","null","null"
"GQ55LS03BAUXZG","de","null","null","null","null","null"
"GQ75LS03BAUXZG","de","null","null","null","null","null"
"GQ85LS03BAUXZG","de","null","null","null","null","null"
"GQ65LS03BAUXZG","de","null","null","null","null","null"
"GU43BU8079UXZG","de","null","null","null","null","null"
"GU75BU8079UXZG","de","null","null","null","null","null"
"GU65BU8079UXZG","de","null","null","null","null","null"
"GU50BU8079UXZG","de","null","null","null","null","null"
"GU55BU8079UXZG","de","null","null","null","null","null"
"GU85BU8079UXZG","de","null","null","null","null","null"
"GU43BU8589UXZG","de","null","null","null","null","null"
"GQ43Q60BAUXZG","de","null","null","null","null","null"
"GQ43LS01BAUXZG","de","null","null","null","null","null"
"GQ43LS01BBUXZG","de","null","null","null","null","null"
"LS43AM704UUXEN","de","null","null","null","null","null"
"GQ43LS05BAUXZG","de","null","null","null","null","null"
"HW-Q810B/ZG","de","null","null","null","null","null"
"GU50BU8589UXZG","de","null","null","null","null","null"
"GU50TU6979UXZG","de","null","null","null","null","null"
"GU43TU6979UXZG","de","null","null","null","null","null"
"GU55TU6979UXZG","de","null","null","null","null","null"
"VG-SCFA50BEBXC","de","null","null","null","null","null"
"GQ50Q60BAUXZG","de","null","null","null","null","null"
"GQ50LS01BAUXZG","de","null","null","null","null","null"
"GQ50LS01BBUXZG","de","null","null","null","null","null"
"GQ55S95BATXZG","de","null","null","null","null","null"
"GQ65S95BATXZG","de","null","null","null","null","null"
"GU55AU7179UXZG","de","null","null","null","null","null"
"GU43AU7179UXZG","de","null","null","null","null","null"
"GU85AU7179UXZG","de","null","null","null","null","null"
"GU65AU7179UXZG","de","null","null","null","null","null"
"GU75AU7179UXZG","de","null","null","null","null","null"
"GU55AU7199UXZG","de","null","null","null","null","null"
"GU50AU7199UXZG","de","null","null","null","null","null"
"GU43AU7199UXZG","de","null","null","null","null","null"
"GU75AU7199UXZG","de","null","null","null","null","null"
"GU65AU7199UXZG","de","null","null","null","null","null"
"GU55BU8579UXZG","de","null","null","null","null","null"
"GU65BU8579UXZG","de","null","null","null","null","null"
"GU75BU8579UXZG","de","null","null","null","null","null"
"GU43BU8579UXZG","de","null","null","null","null","null"
"GU50BU8579UXZG","de","null","null","null","null","null"
