"Main Device","Site","External service type","Company","Trade-in code","Additional Info","Device trade-in amount","Enhanced trade-in discount"
"GU43BU8079UXZG","de","null","null","null","null","null","null"
"GU75BU8079UXZG","de","null","null","null","null","null","null"
"GU65BU8079UXZG","de","null","null","null","null","null","null"
"GU50BU8079UXZG","de","null","null","null","null","null","null"
"GU55BU8079UXZG","de","null","null","null","null","null","null"
"GU85BU8079UXZG","de","null","null","null","null","null","null"
"NV75A667NRS","de","null","null","null","null","null","null"
"GQ55QN90BATXZG","de","null","null","null","null","null","null"
"GQ43QN90BATXZG","de","null","null","null","null","null","null"
"GQ75QN90BATXZG","de","null","null","null","null","null","null"
"GQ50QN90BATXZG","de","null","null","null","null","null","null"
"GQ85QN90BATXZG","de","null","null","null","null","null","null"
"GQ65QN90BATXZG","de","null","null","null","null","null","null"
"RS6GA8842B1","de","null","null","null","null","null","null"
"GQ65Q95TDTXZG","de","null","null","null","null","null","null"
"GQ75Q95TDTXZG","de","null","null","null","null","null","null"
"GQ55Q95TDTXZG","de","null","null","null","null","null","null"
"WW9GT754AWH","de","null","null","null","null","null","null"
"MZ-V8P500BW","de","null","null","null","null","null","null"
"VCA-SP","de","null","null","null","null","null","null"
"ADIDASBLACK22U","de","null","null","null","null","null","null"
"WW71T4543AE","de","null","null","null","null","null","null"
"ADIDASPOUCHUNI","de","null","null","null","null","null","null"
"MB-MD256KB","de","null","null","null","null","null","null"
"DF60A8500CG/E2","de","null","null","null","null","null","null"
"S32AG520PU","de","null","null","null","null","null","null"
"NZ64N7757GK/E1","de","null","null","null","null","null","null"
"EF-VF721L","de","null","null","null","null","null","null"
"RZ32A748548/EG","de","null","null","null","null","null","null"
"EP-TA800N","de","null","null","null","null","null","null"
"RL38A776ASR/EG","de","null","null","null","null","null","null"
"LS55BG970","de","null","null","null","null","null","null"
"RL38A7B5BB1/EG","de","null","null","null","null","null","null"
"VCA-TAB","de","null","null","null","null","null","null"
"VG-SCFT50BW/XC","de","null","null","null","null","null","null"
"EF-QA135","de","null","null","null","null","null","null"
"VG-SCFT65BW/XC","de","null","null","null","null","null","null"
"LS34BG850","de","null","null","null","null","null","null"
"VG-SCFM43PM/XC","de","null","null","null","null","null","null"
"MZ-V8P250","de","null","null","null","null","null","null"
"VG-SCFN65LP/XC","de","null","null","null","null","null","null"
"VCA-SAE903","de","null","null","null","null","null","null"
"DV8FTA220DW/EG","de","null","null","null","null","null","null"
"WW80T754ABT","de","null","null","null","null","null","null"
"DV8GA6225LH/S2","de","null","null","null","null","null","null"
"EF-QA136T","de","null","null","null","null","null","null"
"DV91BB5245ABS2","de","null","null","null","null","null","null"
"DV91BBA245AWEG","de","null","null","null","null","null","null"
"WD81T534ABW","de","null","null","null","null","null","null"
"DW60R7050SG/EG","de","null","null","null","null","null","null"
"RA-B23MNN","de","null","null","null","null","null","null"
"DW60R7050SS/EG","de","null","null","null","null","null","null"
"MZ-V8P500","de","null","null","null","null","null","null"
"DW60R7050US/EG","de","null","null","null","null","null","null"
"CFX-C100","de","null","null","null","null","null","null"
"NV70K3370BS/EG","de","null","null","null","null","null","null"
"EF-DT630","de","null","null","null","null","null","null"
"SM-A336BZOGEUB","de","null","null","null","null","null","null"
"SM-A336BLBGEUB","de","null","null","null","null","null","null"
"SM-A336BZKGEUB","de","null","null","null","null","null","null"
"SM-A336BZWGEUB","de","null","null","null","null","null","null"
"MZ-V7S2T0","de","null","null","null","null","null","null"
"SM-A526BZKDEUB","de","null","null","null","null","null","null"
"GP-FPU022","de","null","null","null","null","null","null"
"NP935QDB-KA1DE","de","null","null","null","null","null","null"
"EF-PG998","de","null","null","null","null","null","null"
"SM-R180NZNAEUA","de","null","null","null","null","null","null"
"SM-R180NZWAEUA","de","null","null","null","null","null","null"
"SM-R180NZKAEUA","de","null","null","null","null","null","null"
"SM-R180NZRAEUA","de","null","null","null","null","null","null"
"SM-R180NZTAEUA","de","null","null","null","null","null","null"
